requestdriverID,driverID,requestID,is_accepted
RED400,DR333,REQ222,FALSE
RED401,DR384,REQ298,FALSE
RED402,DR358,REQ214,FALSE
RED403,DR329,REQ291,TRUE
RED404,DR377,REQ260,FALSE
RED405,DR364,REQ223,TRUE
RED406,DR365,REQ250,TRUE
RED407,DR337,REQ289,TRUE
RED408,DR388,REQ235,TRUE
RED409,DR315,REQ211,FALSE
RED410,DR339,REQ229,TRUE
RED411,DR346,REQ238,FALSE
RED412,DR357,REQ241,TRUE
RED413,DR359,REQ256,TRUE
RED414,DR392,REQ266,TRUE
RED415,DR375,REQ213,TRUE
RED416,DR397,REQ217,FALSE
RED417,DR316,REQ275,TRUE
RED418,DR351,REQ290,FALSE
RED419,DR342,REQ278,TRUE
RED420,DR309,REQ271,TRUE
RED421,DR317,REQ294,FALSE
RED422,DR347,REQ250,FALSE
RED423,DR312,REQ240,FALSE
RED424,DR379,REQ257,TRUE
RED425,DR354,REQ251,TRUE
RED426,DR323,REQ226,TRUE
RED427,DR370,REQ208,TRUE
RED428,DR398,REQ286,TRUE
RED429,DR323,REQ263,TRUE
RED430,DR311,REQ244,TRUE
RED431,DR362,REQ211,TRUE
RED432,DR375,REQ201,FALSE
RED433,DR327,REQ244,TRUE
RED434,DR366,REQ274,FALSE
RED435,DR380,REQ289,TRUE
RED436,DR355,REQ264,TRUE
RED437,DR325,REQ296,FALSE
RED438,DR362,REQ213,TRUE
RED439,DR368,REQ212,TRUE
RED440,DR391,REQ297,FALSE
RED441,DR351,REQ209,TRUE
RED442,DR341,REQ217,TRUE
RED443,DR317,REQ252,FALSE
RED444,DR333,REQ266,TRUE
RED445,DR365,REQ210,FALSE
RED446,DR304,REQ274,TRUE
RED447,DR304,REQ233,FALSE
RED448,DR313,REQ281,FALSE
RED449,DR317,REQ235,TRUE
RED450,DR331,REQ228,TRUE
RED451,DR301,REQ261,FALSE
RED452,DR348,REQ217,TRUE
RED453,DR380,REQ237,TRUE
RED454,DR374,REQ292,FALSE
RED455,DR371,REQ208,FALSE
RED456,DR346,REQ273,TRUE
RED457,DR388,REQ274,TRUE
RED458,DR320,REQ240,FALSE
RED459,DR341,REQ217,TRUE
RED460,DR332,REQ297,FALSE
RED461,DR326,REQ248,FALSE
RED462,DR343,REQ281,TRUE
RED463,DR384,REQ222,FALSE
RED464,DR393,REQ282,FALSE
RED465,DR347,REQ289,FALSE
RED466,DR314,REQ274,FALSE
RED467,DR365,REQ228,FALSE
RED468,DR326,REQ265,TRUE
RED469,DR332,REQ218,TRUE
RED470,DR337,REQ242,FALSE
RED471,DR391,REQ225,FALSE
RED472,DR347,REQ232,FALSE
RED473,DR360,REQ265,FALSE
RED474,DR335,REQ224,TRUE
RED475,DR307,REQ251,FALSE
RED476,DR355,REQ235,TRUE
RED477,DR327,REQ283,TRUE
RED478,DR358,REQ248,TRUE
RED479,DR350,REQ263,TRUE
RED480,DR323,REQ213,TRUE
RED481,DR363,REQ214,TRUE
RED482,DR336,REQ283,TRUE
RED483,DR399,REQ283,FALSE
RED484,DR352,REQ265,FALSE
RED485,DR327,REQ202,FALSE
RED486,DR337,REQ207,FALSE
RED487,DR395,REQ235,FALSE
RED488,DR301,REQ229,TRUE
RED489,DR319,REQ235,FALSE
RED490,DR349,REQ227,FALSE
RED491,DR314,REQ220,FALSE
RED492,DR390,REQ200,TRUE
RED493,DR320,REQ243,FALSE
RED494,DR339,REQ278,FALSE
RED495,DR349,REQ208,TRUE
RED496,DR349,REQ231,FALSE
RED497,DR330,REQ245,TRUE
RED498,DR387,REQ244,TRUE
RED499,DR371,REQ240,FALSE
RED500,DR317,REQ232,FALSE
RED501,DR347,REQ289,FALSE
RED502,DR312,REQ280,TRUE
RED503,DR379,REQ263,FALSE
RED504,DR354,REQ275,FALSE
RED505,DR323,REQ209,FALSE
RED506,DR327,REQ274,TRUE
RED507,DR337,REQ292,TRUE
RED508,DR395,REQ278,TRUE
RED509,DR301,REQ259,TRUE
RED510,DR319,REQ201,TRUE
RED511,DR349,REQ290,TRUE
RED512,DR314,REQ272,FALSE
RED513,DR390,REQ293,TRUE
RED514,DR320,REQ291,TRUE
RED515,DR339,REQ217,TRUE
RED516,DR301,REQ221,TRUE
RED517,DR348,REQ204,TRUE
RED518,DR380,REQ227,FALSE
RED519,DR374,REQ217,TRUE
RED520,DR371,REQ288,FALSE
RED521,DR346,REQ223,TRUE
RED522,DR388,REQ224,TRUE
RED523,DR320,REQ251,FALSE
RED524,DR341,REQ267,TRUE
RED525,DR332,REQ223,FALSE
RED526,DR326,REQ203,TRUE
RED527,DR343,REQ202,FALSE
RED528,DR384,REQ261,TRUE
RED529,DR393,REQ250,TRUE
RED530,DR347,REQ236,FALSE
RED531,DR314,REQ224,TRUE
RED532,DR365,REQ258,TRUE
RED533,DR357,REQ281,FALSE
RED534,DR359,REQ230,FALSE
RED535,DR392,REQ228,FALSE
RED536,DR375,REQ251,FALSE
RED537,DR397,REQ275,FALSE
RED538,DR316,REQ262,TRUE
RED539,DR351,REQ244,TRUE
RED540,DR342,REQ269,FALSE
RED541,DR309,REQ271,FALSE
RED542,DR317,REQ273,TRUE
RED543,DR347,REQ292,TRUE
RED544,DR312,REQ268,TRUE
RED545,DR379,REQ236,TRUE
RED546,DR354,REQ234,TRUE
RED547,DR359,REQ216,FALSE
RED548,DR392,REQ225,TRUE
